id,nom,categorie,prix
1097,Salad Mix,Objets generaux,753
1098,Fried Food,Objets generaux,603
1099,Boiled Egg,Objets generaux,530
1100,Camping Gear,elements cles,660
1103,Rusted Sword,elements cles,380
1104,Rusted Shield,elements cles,916
1105,Fossilized Bird,Objets generaux,130
1106,Fossilized Fish,Objets generaux,766
1107,Fossilized Drake,Objets generaux,857
1108,Fossilized Dino,Objets generaux,544
1109,Strawberry Sweet,Objets tenus,973
1110,Love Sweet,Objets tenus,427
1111,Berry Sweet,Objets tenus,582
1112,Clover Sweet,Objets tenus,565
1113,Flower Sweet,Objets tenus,732
1114,Star Sweet,Objets tenus,296
1115,Ribbon Sweet,Objets tenus,157
1116,Sweet Apple,Objets tenus,578
1117,Tart Apple,Objets tenus,934
1118,Throat Spray,Objets tenus,118
1119,Eject Pack,Objets tenus,652
1120,Heavy-Duty Boots,Objets tenus,967
1121,Blunder Policy,Objets tenus,682
1122,Room Service,Objets tenus,472
1123,Utility Umbrella,Objets tenus,426
1124,Exp. Candy XS,Medecine,555
1125,Exp. Candy S,Medecine,754
1126,Exp. Candy M,Medecine,156
1127,Exp. Candy L,Medecine,900
1128,Exp. Candy XL,Medecine,441
1129,Dynamax Candy,Medecine,503
1130,TR00,Machines,208
1131,TR01,Machines,549
1132,TR02,Machines,223
1133,TR03,Machines,736
1134,TR04,Machines,588
1135,TR05,Machines,513
1136,TR06,Machines,912
1137,TR07,Machines,266
1138,TR08,Machines,561
1139,TR09,Machines,487
1140,TR10,Machines,618
1141,TR11,Machines,114
1142,TR12,Machines,495
1143,TR13,Machines,568
1144,TR14,Machines,832
1145,TR15,Machines,158
1146,TR16,Machines,383
1147,TR17,Machines,825
1148,TR18,Machines,390
1149,TR19,Machines,925
1150,TR20,Machines,730
1151,TR21,Machines,939
1152,TR22,Machines,198
1153,TR23,Machines,156
1154,TR24,Machines,121
1155,TR25,Machines,937
1156,TR26,Machines,681
1157,TR27,Machines,346
1158,TR28,Machines,362
1159,TR29,Machines,239
1160,TR30,Machines,770
1161,TR31,Machines,671
1162,TR32,Machines,826
1163,TR33,Machines,537
1164,TR34,Machines,947
1165,TR35,Machines,788
1166,TR36,Machines,178
1167,TR37,Machines,148
1168,TR38,Machines,815
1169,TR39,Machines,238
1170,TR40,Machines,169
1171,TR41,Machines,172
1172,TR42,Machines,279
1173,TR43,Machines,840
1174,TR44,Machines,287
1175,TR45,Machines,910
1176,TR46,Machines,535
1177,TR47,Machines,537
1178,TR48,Machines,544
1179,TR49,Machines,255
1180,TR50,Machines,207
1181,TR51,Machines,234
1182,TR52,Machines,943
1183,TR53,Machines,188
1184,TR54,Machines,268
1185,TR55,Machines,246
1186,TR56,Machines,701
1187,TR57,Machines,609
1188,TR58,Machines,974
1189,TR59,Machines,495
1190,TR60,Machines,841
1191,TR61,Machines,174
1192,TR62,Machines,171
1193,TR63,Machines,874
1194,TR64,Machines,684
1195,TR65,Machines,970
1196,TR66,Machines,600
1197,TR67,Machines,655
1198,TR68,Machines,958
1199,TR69,Machines,815
1200,TR70,Machines,369
1201,TR71,Machines,685
1202,TR72,Machines,965
1203,TR73,Machines,525
1204,TR74,Machines,602
1205,TR75,Machines,969
1206,TR76,Machines,886
1207,TR77,Machines,248
1208,TR78,Machines,248
1209,TR79,Machines,637
1210,TR80,Machines,731
1211,TR81,Machines,658
1212,TR82,Machines,859
1213,TR83,Machines,167
1214,TR84,Machines,912
1215,TR85,Machines,597
1216,TR86,Machines,257
1217,TR87,Machines,264
1218,TR88,Machines,611
1219,TR89,Machines,191
1220,TR90,Machines,734
1221,TR91,Machines,202
1222,TR92,Machines,193
1223,TR93,Machines,292
1224,TR94,Machines,279
1225,TR95,Machines,475
1227,TR97,Machines,989
1228,TR98,Machines,881
1229,TR99,Machines,802
1230,TM00,Machines,804
1231,Lonely Mint,Items de combats,849
1232,Adamant Mint,Items de combats,759
1233,Naughty Mint,Items de combats,453
1234,Brave Mint,Items de combats,499
1235,Bold Mint,Items de combats,270
1236,Impish Mint,Items de combats,580
1237,Lax Mint,Items de combats,159
1238,Relaxed Mint,Items de combats,654
1239,Modest Mint,Items de combats,758
1240,Mild Mint,Items de combats,953
1241,Rash Mint,Items de combats,990
1242,Quiet Mint,Items de combats,898
1243,Calm Mint,Items de combats,278
1244,Gentle Mint,Items de combats,469
1245,Careful Mint,Items de combats,302
1246,Sassy Mint,Items de combats,865
1247,Timid Mint,Items de combats,592
1248,Hasty Mint,Items de combats,944
1249,Jolly Mint,Items de combats,294
1250,Naive Mint,Items de combats,176
1251,Serious Mint,Items de combats,577
1252,Wishing Piece,Objets generaux,331
1253,Cracked Pot,Objets tenus,619
1254,Chipped Pot,Objets tenus,951
1255,Hi-tech Earbuds,Objets tenus,291
1256,Fruit Bunch,Objets generaux,278
1257,Moomoo Cheese,Objets generaux,849
1258,Spice Mix,Objets generaux,506
1259,Fresh Cream,Objets generaux,656
1260,Packaged Curry,Objets generaux,381
1261,Coconut Milk,Objets generaux,822
1262,Instant Noodles,Objets generaux,108
1263,Precooked Burger,Objets generaux,258
1264,Gigantamix,Objets generaux,962
1265,Wishing Chip,elements cles,580
1266,Rotom Bike,elements cles,477
1267,Catching Charm,elements cles,817
1269,Old Letter,elements cles,999
1270,Band Autograph,elements cles,959
1271,Sonia\'s Book,elements cles,718
1278,Rotom Catalog,elements cles,636
